tweet_id,text,Bag_of_Words
157,"RT @spectatorindex: BREAKING: Sophie Trudeau, wife of Canada's PM, tests positive for coronavirus.","{'pm': 1, 'for': 1, 'breaking': 1, 'trudeau': 1, 'tests': 1, 'spectatorindex': 1, 'rt': 1, 'coronavirus': 1, 'sophie': 1, 'positive': 1, 'wife': 1, 'of': 1, 'canadas': 1}"
1048,RT @__knf: we at Da Crib University fr now.,"{'fr': 1, 'rt': 1, 'knf': 1, 'crib': 1, 'now': 1, 'at': 1, 'da': 1, 'university': 1, 'we': 1}"
1330,RT @msstate: @NonSense_Cynt @susands @farrahmorelli3 @duquavious @maroonalert (1/2)The University will remain open and internet access will,"{'duquavious': 1, 'rt': 1, 'open': 1, 'msstate': 1, 'internet': 1, 'nonsensecynt': 1, 'remain': 1, 'will': 2, 'university': 1, 'maroonalert': 1, '12the': 1, 'susands': 1, 'and': 1, 'access': 1, 'farrahmorelli3': 1}"
1347,"RT @uiowa: Working over the course of three academic semesters, Hawkeyes used their knowledge in information systems to create an applicati","{'used': 1, 'working': 1, 'in': 1, 'uiowa': 1, 'course': 1, 'three': 1, 'hawkeyes': 1, 'systems': 1, 'semesters': 1, 'information': 1, 'create': 1, 'rt': 1, 'applicati': 1, 'to': 1, 'over': 1, 'their': 1, 'knowledge': 1, 'academic': 1, 'an': 1, 'of': 1, 'the': 1}"
1897,@MissPammy_85 @domestic121 @HalifaxBank Bank of Scotland are under Halifax my bursary hasnt gone in either!,"{'in': 1, 'are': 1, 'misspammy85': 1, 'scotland': 1, 'bank': 1, 'my': 1, 'halifaxbank': 1, 'either': 1, 'hasnt': 1, 'under': 1, 'domestic121': 1, 'gone': 1, 'halifax': 1, 'bursary': 1, 'of': 1}"
2059,Gas in Halifax dropped 12 cents over night keep it going corona,"{'12': 1, 'in': 1, 'dropped': 1, 'going': 1, 'keep': 1, 'it': 1, 'night': 1, 'gas': 1, 'over': 1, 'corona': 1, 'halifax': 1, 'cents': 1}"
2261,RT @HealthNS: A new COVID-19 assessment centre opened today in Halifax. Those who have travelled out of country and who develop a fever of,"{'in': 1, 'have': 1, 'healthns': 1, 'covid19': 1, 'a': 2, 'rt': 1, 'travelled': 1, 'country': 1, 'out': 1, 'opened': 1, 'who': 2, 'new': 1, 'assessment': 1, 'fever': 1, 'halifax': 1, 'develop': 1, 'centre': 1, 'of': 2, 'and': 1, 'today': 1, 'those': 1}"
3432,The B.C. government is calling for the cancellation of any gatherings of more than 250 people. https://t.co/KOHS9V49Kj,"{'for': 1, 'people': 1, 'any': 1, 'is': 1, 'calling': 1, 'than': 1, '250': 1, 'bc': 1, 'gatherings': 1, 'cancellation': 1, 'government': 1, 'more': 1, 'httpstcokohs9v49kj': 1, 'of': 2, 'the': 2}"
3474,".@CanadianPM Justin Trudeau's wife has been tested positive for Coronavirus.

#CoronavirusPandemic #CoronaVirusCanada #CoronaVirus #Canada 
https://t.co/jDCSC4CPa0","{'for': 1, 'httpstcojdcsc4cpa0': 1, 'has': 1, 'coronavirus': 2, 'canada': 1, 'been': 1, 'justin': 1, 'tested': 1, 'trudeaus': 1, 'positive': 1, 'wife': 1, 'coronaviruscanada': 1, 'coronaviruspandemic': 1, 'canadianpm': 1}"
3781,There are medical professionals in Canada who are now advocating for closing the border with the United States to prevent the spread of the coronavirus. Think about that.,"{'for': 1, 'spread': 1, 'in': 1, 'are': 2, 'border': 1, 'professionals': 1, 'prevent': 1, 'closing': 1, 'united': 1, 'coronavirus': 1, 'canada': 1, 'that': 1, 'to': 1, 'now': 1, 'there': 1, 'advocating': 1, 'who': 1, 'think': 1, 'with': 1, 'medical': 1, 'about': 1, 'of': 1, 'states': 1, 'the': 4}"
3818,"As COVID-19 continues to spread, we are taking every precaution to minimize the health, economic, and social impacts of the virus in Canada. And today, we announced a billion-dollar COVID-19 Response Fund to address the impacts of the virus on our country and to keep you safe.  https://t.co/1HWcDIDTra","{'health': 1, 'spread': 1, 'in': 1, 'are': 1, 'economic': 1, 'covid19': 2, 'our': 1, 'keep': 1, 'announced': 1, 'every': 1, 'httpstco1hwcdidtra': 1, 'a': 1, 'as': 1, 'impacts': 2, 'country': 1, 'safe': 1, 'social': 1, 'canada': 1, 'to': 4, 'you': 1, 'virus': 2, 'response': 1, 'on': 1, 'taking': 1, 'address': 1, 'minimize': 1, 'precaution': 1, 'billiondollar': 1, 'fund': 1, 'continues': 1, 'we': 2, 'of': 2, 'and': 3, 'today': 1, 'the': 4}"
4151,"[T] 'The Most Beautiful Moment in Life' GOT7 Jinyoung, created an image of beautiful and bright youth. 'Warm' university sunbae

https://t.co/SH2roQe5C2

#Jinyoung # #GOT7 # @GOT7Official https://t.co/v6HEn5jbRA","{'beautiful': 2, 'in': 1, 'got7': 2, 'image': 1, 'httpstcosh2roqe5c2': 1, 't': 1, 'warm': 1, 'got7official': 1, 'youth': 1, 'bright': 1, 'most': 1, 'university': 1, 'moment': 1, 'life': 1, 'an': 1, 'httpstcov6hen5jbra': 1, 'sunbae': 1, 'jinyoung': 2, 'of': 1, 'and': 1, 'created': 1, 'the': 1}"
4357,Canvas University,"{'canvas': 1, 'university': 1}"
4989,"Halifax City will be removing tryouts as we transition to ongoing feedback for the following reasons:

 Remove anxiety for the players, parents &amp; coaches
 Removes additional fees

AA/A must register prior to April 20th for us to ensure you are playing in the right program https://t.co/itOBZY5caZ","{'register': 1, 'for': 3, 'program': 1, 'city': 1, 'in': 1, 'players': 1, 'are': 1, 'prior': 1, 'must': 1, 'parents': 1, 'us': 1, 'as': 1, 'additional': 1, 'following': 1, 'amp': 1, 'to': 3, 'ensure': 1, 'you': 1, 'feedback': 1, 'tryouts': 1, 'ongoing': 1, 'remove': 1, 'april': 1, 'anxiety': 1, 'will': 1, 'fees': 1, 'httpstcoitobzy5caz': 1, 'be': 1, '20th': 1, 'transition': 1, 'removing': 1, 'playing': 1, 'coaches': 1, 'halifax': 1, 'aaa': 1, 'removes': 1, 'we': 1, 'reasons': 1, 'right': 1, 'the': 3}"
5135,"Eight out of 10 children in Nunavut live in food insecure households: If were not able to provide good food to our children... its going to have an impact on how they develop, how they do in the education system...
https://t.co/K33JIutm7L","{'able': 1, 'children': 2, 'in': 3, 'have': 1, 'households': 1, 'httpstcok33jiutm7l': 1, 'system': 1, 'if': 1, 'good': 1, 'going': 1, 'our': 1, 'do': 1, 'impact': 1, '10': 1, 'they': 2, 'provide': 1, 'out': 1, 'to': 3, 'on': 1, 'education': 1, 'how': 2, 'live': 1, 'food': 2, 'not': 1, 'nunavut': 1, 'insecure': 1, 'its': 1, 'an': 1, 'were': 1, 'develop': 1, 'of': 1, 'eight': 1, 'the': 1}"
5237,"@mini_bubbly @AndrewScheer Imagine what shape Canada would be in, if every province solely focused on 'one' industry only. And made no provisions for the future. But to blame everyone else, for the global price of the product. One industry, one education, &amp; one religion for all. Pretty short sighted.","{'for': 3, 'in': 1, 'everyone': 1, 'but': 1, 'future': 1, 'what': 1, 'would': 1, 'provisions': 1, 'if': 1, 'andrewscheer': 1, 'short': 1, 'all': 1, 'pretty': 1, 'price': 1, 'every': 1, 'else': 1, 'industry': 2, 'focused': 1, 'amp': 1, 'canada': 1, 'to': 1, 'minibubbly': 1, 'global': 1, 'on': 1, 'education': 1, 'solely': 1, 'imagine': 1, 'sighted': 1, 'province': 1, 'be': 1, 'shape': 1, 'religion': 1, 'blame': 1, 'made': 1, 'no': 1, 'of': 1, 'and': 1, 'one': 4, 'product': 1, 'the': 3, 'only': 1}"
5249,"My biggest message for women is know your power, your strength&amp; speak your truth Annamay Oldershaw
Listen to the inspiring stories of 2 teachers, Olympian Annamay Oldershaw &amp; Tokyo 2020 Olympic hopeful Lyndsay Tessier : https://t.co/NWA0L79quC 
#IWD2020 @TeamCanada @Komak https://t.co/2wAQpTYzC3","{'for': 1, '2020': 1, 'women': 1, 'your': 3, 'is': 1, 'iwd2020': 1, 'stories': 1, 'oldershaw': 2, 'tokyo': 1, 'olympian': 1, 'teachers': 1, 'httpstconwa0l79quc': 1, 'lyndsay': 1, 'biggest': 1, 'olympic': 1, 'amp': 1, 'hopeful': 1, 'to': 1, 'know': 1, 'listen': 1, 'my': 1, 'tessier': 1, 'inspiring': 1, 'komak': 1, 'teamcanada': 1, 'annamay': 2, '2': 1, 'message': 1, 'power': 1, 'httpstco2waqptyzc3': 1, 'truth': 1, 'strengthamp': 1, 'of': 1, 'speak': 1, 'the': 1}"
5256,"Philanthropist @MargaretNMcCain (@MWMFF_) says Canada is falling behind on early years education. She talks to @spaikin about the power of pre-school, tonight on The Agenda. | Producers: @sandragionas &amp; @ColinEllis81 #childcare #ece https://t.co/G4oYL9dz02","{'behind': 1, 'years': 1, 'is': 1, 'colinellis81': 1, 'talks': 1, 'mwmff': 1, 'httpstcog4oyl9dz02': 1, 'margaretnmccain': 1, 'preschool': 1, 'sandragionas': 1, 'she': 1, 'tonight': 1, 'amp': 1, 'canada': 1, 'to': 1, 'childcare': 1, 'on': 2, 'education': 1, 'ece': 1, 'says': 1, 'agenda': 1, 'early': 1, 'philanthropist': 1, 'power': 1, 'about': 1, 'producers': 1, 'spaikin': 1, 'of': 1, 'falling': 1, 'the': 2}"
124,The federal government is continuing with slight increases to the number of immigrants Canada will accept over the next three years. https://t.co/ZYysXTGN0q,"{'number': 1, 'increases': 1, 'years': 1, 'is': 1, 'accept': 1, 'three': 1, 'immigrants': 1, 'slight': 1, 'federal': 1, 'canada': 1, 'to': 1, 'continuing': 1, 'over': 1, 'government': 1, 'will': 1, 'with': 1, 'next': 1, 'httpstcozyysxtgn0q': 1, 'of': 1, 'the': 3}"
181,"RT @DostKhan_Jammu: For Your Kind Information
India Only Country Where 14% Muslim Population Enjoy Minority Status
US: NO
UK: No
France: No","{'minority': 1, 'for': 1, 'your': 1, 'muslim': 1, 'india': 1, 'uk': 1, 'population': 1, 'us': 1, 'information': 1, 'rt': 1, 'dostkhanjammu': 1, 'country': 1, '14': 1, 'status': 1, 'enjoy': 1, 'france': 1, 'where': 1, 'kind': 1, 'no': 3, 'only': 1}"
363,"RT @AnnieClaireBO: BREAKING: Canada's Prime Minister is self isolating after his wife, Sophie Grgoire Trudeau, returned from London and st","{'st': 1, 'is': 1, 'his': 1, 'breaking': 1, 'grgoire': 1, 'trudeau': 1, 'self': 1, 'minister': 1, 'annieclairebo': 1, 'rt': 1, 'london': 1, 'returned': 1, 'isolating': 1, 'after': 1, 'sophie': 1, 'from': 1, 'wife': 1, 'prime': 1, 'and': 1, 'canadas': 1}"
586,"RT @spectatorindex: BREAKING: Sophie Trudeau, wife of Canada's PM, tests positive for coronavirus.","{'pm': 1, 'for': 1, 'breaking': 1, 'trudeau': 1, 'tests': 1, 'spectatorindex': 1, 'rt': 1, 'coronavirus': 1, 'sophie': 1, 'positive': 1, 'wife': 1, 'of': 1, 'canadas': 1}"
843,RT @DorcasMayokun: @nefisah0001 @kunledarmani @Anambravirgin I still remembered when she used her child's university certificate to light f,"{'used': 1, 'certificate': 1, 'dorcasmayokun': 1, 'kunledarmani': 1, 'f': 1, 'anambravirgin': 1, 'nefisah0001': 1, 'she': 1, 'rt': 1, 'i': 1, 'childs': 1, 'to': 1, 'university': 1, 'still': 1, 'remembered': 1, 'her': 1, 'light': 1, 'when': 1}"
1135,"RT @politico: From cradle to university, France is shutting down its education system to prevent the spread of coronavirus

https://t.co/L8","{'down': 1, 'httpstcol8': 1, 'spread': 1, 'is': 1, 'system': 1, 'prevent': 1, 'rt': 1, 'coronavirus': 1, 'to': 2, 'cradle': 1, 'shutting': 1, 'education': 1, 'university': 1, 'from': 1, 'its': 1, 'france': 1, 'of': 1, 'politico': 1, 'the': 1}"
1149,"RT @dailynation: Ms Leila Abdi Ali failed to produce her academic certificates for KCPE and KCSE. Instead, she produced a photocopy of Form","{'for': 1, 'produce': 1, 'instead': 1, 'produced': 1, 'failed': 1, 'a': 1, 'she': 1, 'rt': 1, 'ali': 1, 'to': 1, 'leila': 1, 'dailynation': 1, 'certificates': 1, 'photocopy': 1, 'academic': 1, 'her': 1, 'kcse': 1, 'form': 1, 'of': 1, 'abdi': 1, 'kcpe': 1, 'and': 1, 'ms': 1}"
1323,"RT @burningshhit: Yes, there are many news that agree to the second decision because it is the best and most appropriate for all students i","{'for': 1, 'are': 1, 'is': 1, 'agree': 1, 'yes': 1, 'best': 1, 'students': 1, 'all': 1, 'it': 1, 'because': 1, 'rt': 1, 'decision': 1, 'i': 1, 'that': 1, 'to': 1, 'most': 1, 'there': 1, 'second': 1, 'appropriate': 1, 'burningshhit': 1, 'news': 1, 'many': 1, 'and': 1, 'the': 2}"
1368,"RT @Diaz_Jorge77: UCLA
USC
UC Irvine
UC Santa Barbara
CSLB
San Diego State
Loyola Marymount 
Pepperdine University
Cal State Northridge
Cha","{'loyola': 1, 'usc': 1, 'pepperdine': 1, 'cslb': 1, 'state': 2, 'irvine': 1, 'barbara': 1, 'ucla': 1, 'rt': 1, 'marymount': 1, 'cal': 1, 'northridge': 1, 'uc': 2, 'san': 1, 'university': 1, 'santa': 1, 'diego': 1, 'cha': 1, 'diazjorge77': 1}"
1441,"Study tour of University Law College, Punjab University, Lahore
Dated: 12-03-2020 https://t.co/6uzwuzFc9I","{'punjab': 1, 'httpstco6uzwuzfc9i': 1, 'law': 1, '12032020': 1, 'university': 2, 'dated': 1, 'lahore': 1, 'tour': 1, 'study': 1, 'college': 1, 'of': 1}"
1535,"@ScottMorrisonMP None of you seemed to care that University Sector, Airlines &amp; agents were scheming to get around the ban on Chinese flying from China, by actively encouraging them with financial incentives to travel via a third country. How about blame where it belongs guys.","{'guys': 1, 'encouraging': 1, 'ban': 1, 'it': 1, 'a': 1, 'flying': 1, 'airlines': 1, 'care': 1, 'country': 1, 'scottmorrisonmp': 1, 'agents': 1, 'sector': 1, 'amp': 1, 'that': 1, 'to': 3, 'you': 1, 'around': 1, 'china': 1, 'travel': 1, 'on': 1, 'how': 1, 'actively': 1, 'third': 1, 'scheming': 1, 'them': 1, 'by': 1, 'belongs': 1, 'via': 1, 'university': 1, 'with': 1, 'from': 1, 'financial': 1, 'where': 1, 'get': 1, 'were': 1, 'incentives': 1, 'none': 1, 'about': 1, 'blame': 1, 'seemed': 1, 'of': 1, 'chinese': 1, 'the': 1}"
1592,RT @__knf: we at Da Crib University fr now.,"{'fr': 1, 'rt': 1, 'knf': 1, 'crib': 1, 'now': 1, 'at': 1, 'da': 1, 'university': 1, 'we': 1}"
1712,RT @love2learn_Rach: @nelson_whynder thanks to Chelsea and Morgan (Dalhousie Women's Varsity Basketball players)   spending time with a NWE,"{'varsity': 1, 'players': 1, 'love2learnrach': 1, 'thanks': 1, 'chelsea': 1, 'a': 1, 'womens': 1, 'rt': 1, 'to': 1, 'morgan': 1, 'basketball': 1, 'with': 1, 'nwe': 1, 'dalhousie': 1, 'time': 1, 'spending': 1, 'and': 1, 'nelsonwhynder': 1}"
1858,@BBCNews Look at the absolute state of them - Always the ones we least suspect. #rochdale #halifax #huddersfield #dewsbury #rotherham,"{'huddersfield': 1, 'state': 1, 'look': 1, 'bbcnews': 1, 'rochdale': 1, 'least': 1, 'rotherham': 1, 'at': 1, 'them': 1, 'ones': 1, 'suspect': 1, 'absolute': 1, 'always': 1, 'halifax': 1, 'dewsbury': 1, 'we': 1, 'of': 1, 'the': 2}"
2097,RT @rinkrant: Halifax blanks Cole Harbour 5-0 to take best-of-7 series 4-2. Shots 33-22.  Macs advance to @NSMMHL final and face winner of,"{'winner': 1, 'series': 1, 'rinkrant': 1, 'nsmmhl': 1, 'harbour': 1, '50': 1, 'blanks': 1, 'advance': 1, 'rt': 1, 'cole': 1, 'to': 2, 'face': 1, 'bestof7': 1, 'take': 1, 'shots': 1, 'final': 1, '42': 1, '3322': 1, 'halifax': 1, 'macs': 1, 'of': 1, 'and': 1}"
2334,RT @TwitCoast: Voice of the city: MLA Claudia Chender (@ChenderMLA)  on Nova Scotia passing a bubble zone law https://t.co/YYlhjK7WwA https,"{'claudia': 1, 'city': 1, 'chender': 1, 'a': 1, 'voice': 1, 'rt': 1, 'bubble': 1, 'https': 1, 'httpstcoyylhjk7wwa': 1, 'passing': 1, 'twitcoast': 1, 'law': 1, 'on': 1, 'mla': 1, 'chendermla': 1, 'nova': 1, 'zone': 1, 'scotia': 1, 'of': 1, 'the': 1}"
2384,"@clearing_fog Endeavour
Bosch
Sex education
Call my agent
Broadchurch 
Happy Valley
The tunnel
Last tango in Halifax","{'in': 1, 'endeavour': 1, 'agent': 1, 'last': 1, 'sex': 1, 'broadchurch': 1, 'happy': 1, 'education': 1, 'my': 1, 'tango': 1, 'tunnel': 1, 'bosch': 1, 'halifax': 1, 'call': 1, 'valley': 1, 'clearingfog': 1, 'the': 1}"
2501,"RT @RNW_MITCHELL: Did you notice #RBS not one of them...Typical !
6 Big banks including Santander, Lloyds and Halifax move immediately to h","{'themtypical': 1, 'move': 1, 'big': 1, 'rt': 1, 'lloyds': 1, 'to': 1, 'you': 1, 'did': 1, '6': 1, 'notice': 1, 'not': 1, 'immediately': 1, 'rbs': 1, 'banks': 1, 'h': 1, 'halifax': 1, 'including': 1, 'of': 1, 'and': 1, 'one': 1, 'santander': 1, 'rnwmitchell': 1}"
2525,Thrilled to collaborate with @hfxpublib offer monthly #WomenEntrepreneurs Round-table Conversation. Special thanks @jkhodos continuous support &amp; bring ideas to support businessesJoin us https://t.co/jeAN7moklP @cwb_ns @halifaxchamber @LeadingLadiesHQ @womenbizHFX @PeopleCan https://t.co/O4E2t19AMc,"{'ideas': 1, 'continuous': 1, 'support': 2, 'halifaxchamber': 1, 'hfxpublib': 1, 'conversation': 1, 'roundtable': 1, 'cwbns': 1, 'httpstcojean7moklp': 1, 'peoplecan': 1, 'thrilled': 1, 'thanks': 1, 'womenentrepreneurs': 1, 'us': 1, 'jkhodos': 1, 'collaborate': 1, 'businessesjoin': 1, 'amp': 1, 'httpstcoo4e2t19amc': 1, 'to': 2, 'womenbizhfx': 1, 'with': 1, 'bring': 1, 'offer': 1, 'special': 1, 'leadingladieshq': 1, 'monthly': 1}"
2621,@essex_alison @VBofPerth @Sflecce Well said @klr_canada it's the same stuff as everyone fearing jobs being taken over by robots. Only right now it's e-learning and a newer generation that will eradicate our old and outdated education system. Hasn't changed in 150+ yrs.,"{'in': 1, 'everyone': 1, 'said': 1, 'system': 1, 'robots': 1, 'generation': 1, 'our': 1, 'klrcanada': 1, 'outdated': 1, 'vbofperth': 1, 'a': 1, 'newer': 1, 'as': 1, 'well': 1, 'old': 1, 'changed': 1, 'that': 1, 'now': 1, 'taken': 1, 'over': 1, 'yrs': 1, 'being': 1, 'same': 1, 'education': 1, 'fearing': 1, 'by': 1, 'sflecce': 1, 'will': 1, 'hasnt': 1, 'stuff': 1, 'eradicate': 1, 'jobs': 1, 'its': 2, '150': 1, 'essexalison': 1, 'and': 2, 'right': 1, 'elearning': 1, 'the': 1, 'only': 1}"
2687,RT @HistoricaCanada: Our new education guide Residential Schools in Canada aims to raise awareness of the history of residential schools,"{'schools': 2, 'aims': 1, 'in': 1, 'history': 1, 'guide': 1, 'our': 1, 'historicacanada': 1, 'rt': 1, 'canada': 1, 'residential': 2, 'to': 1, 'awareness': 1, 'raise': 1, 'education': 1, 'new': 1, 'of': 2, 'the': 1}"
3262,RT @andreseblos: education being taken away from students bc of the coronavirus is so scary. i live in canada and it hasnt rlly been a huge,"{'huge': 1, 'in': 1, 'is': 1, 'students': 1, 'so': 1, 'scary': 1, 'it': 1, 'bc': 1, 'a': 1, 'rlly': 1, 'rt': 1, 'coronavirus': 1, 'canada': 1, 'i': 1, 'taken': 1, 'been': 1, 'being': 1, 'education': 1, 'live': 1, 'hasnt': 1, 'from': 1, 'andreseblos': 1, 'of': 1, 'away': 1, 'and': 1, 'the': 1}"
3295,"RT @Sflecce: Precisely the reason we are realigning our curriculum with the life &amp; job skills that our students need:

""Nearly 9 in 10 Cana","{'precisely': 1, 'in': 1, 'are': 1, 'cana': 1, '9': 1, 'students': 1, 'our': 2, 'realigning': 1, 'job': 1, 'nearly': 1, 'rt': 1, '10': 1, 'amp': 1, 'reason': 1, 'that': 1, 'need': 1, 'sflecce': 1, 'with': 1, 'life': 1, 'skills': 1, 'curriculum': 1, 'we': 1, 'the': 2}"
3464,"Canada will spend C$1 billion to fight the spread of coronavirus in the country and stands ready to do more, PM Trudeau said on Wednesday as his government took its first economic measures to contain a worsening outbreak.
#VoiceOfNations https://t.co/2Q4KAzulcX","{'pm': 1, 'spread': 1, 'in': 1, 'his': 1, 'said': 1, 'worsening': 1, 'economic': 1, 'spend': 1, 'stands': 1, 'do': 1, 'measures': 1, 'ready': 1, 'trudeau': 1, 'a': 1, 'wednesday': 1, 'as': 1, 'httpstco2q4kazulcx': 1, 'coronavirus': 1, 'contain': 1, 'country': 1, 'canada': 1, 'voiceofnations': 1, 'to': 3, 'took': 1, 'c1': 1, 'outbreak': 1, 'on': 1, 'government': 1, 'billion': 1, 'will': 1, 'first': 1, 'fight': 1, 'its': 1, 'more': 1, 'of': 1, 'and': 1, 'the': 2}"
3481,#BREAKING: #Canada PM Justin Trudeaus wife Sophie has tested positive for the #coronavirus https://t.co/oafXHNJIEX,"{'pm': 1, 'for': 1, 'breaking': 1, 'has': 1, 'coronavirus': 1, 'canada': 1, 'justin': 1, 'sophie': 1, 'tested': 1, 'trudeaus': 1, 'httpstcooafxhnjiex': 1, 'positive': 1, 'wife': 1, 'the': 1}"
3728,"BREAKING: Sophie Trudeau, wife of Canada's PM, tests positive for coronavirus.","{'pm': 1, 'for': 1, 'breaking': 1, 'trudeau': 1, 'tests': 1, 'coronavirus': 1, 'sophie': 1, 'positive': 1, 'wife': 1, 'of': 1, 'canadas': 1}"
3985,"#CORONAVIRUS : Canada Suspends All Existing Visas Except Diplomatic Visas, Quarantines Self.

When Will Nigeria Follow The exaples being set by USA, India and Now Canada? 

https://t.co/mztMzPWN9f","{'india': 1, 'all': 1, 'exaples': 1, 'diplomatic': 1, 'set': 1, 'self': 1, 'coronavirus': 1, 'canada': 2, 'existing': 1, 'now': 1, 'being': 1, 'visas': 2, 'usa': 1, 'by': 1, 'will': 1, 'httpstcomztmzpwn9f': 1, 'suspends': 1, 'nigeria': 1, 'except': 1, 'when': 1, 'and': 1, 'follow': 1, 'quarantines': 1, 'the': 1}"
4321,we at Da Crib University fr now.,"{'fr': 1, 'crib': 1, 'now': 1, 'at': 1, 'da': 1, 'university': 1, 'we': 1}"
4488,"Researchers from the University of Tennessee reportedly have discovered a chemical compound that soon will be further tested and ultimately could lead to a possible cure for coronavirus.

 https://t.co/PygvDsAC0O (FREE) via @RyanCallahan247","{'compound': 1, 'for': 1, 'ultimately': 1, 'further': 1, 'researchers': 1, 'lead': 1, 'tennessee': 1, 'have': 1, 'soon': 1, 'cure': 1, 'httpstcopygvdsac0o': 1, 'a': 2, 'chemical': 1, 'coronavirus': 1, 'that': 1, 'to': 1, 'discovered': 1, 'ryancallahan247': 1, 'will': 1, 'via': 1, 'university': 1, 'from': 1, 'tested': 1, 'could': 1, 'reportedly': 1, 'be': 1, 'possible': 1, 'of': 1, 'and': 1, 'free': 1, 'the': 1}"
4672,"Our next meeting is on Wednesday 11th March from 7pm to 9pm in Room 2S02 of the Dalhousie Building at Dundee University. 

We'd be happy to see you there.","{'in': 1, 'is': 1, 'march': 1, 'meeting': 1, 'our': 1, 'wednesday': 1, 'building': 1, 'to': 2, 'you': 1, 'there': 1, 'at': 1, 'on': 1, 'happy': 1, '11th': 1, '7pm': 1, 'university': 1, 'dundee': 1, 'from': 1, 'next': 1, '9pm': 1, 'be': 1, 'dalhousie': 1, 'room': 1, 'see': 1, '2s02': 1, 'of': 1, 'wed': 1, 'the': 1}"
4770,"Feeling for the guys over at @thehighbutton. They've produced a tremendous product, providing second-to-none coverage of the #Halifax sport scene.

This is their busiest time of the year, so the cancellations are a real blow. Give the guys some love! #HBSports @bellyhighbutton","{'providing': 1, 'for': 1, 'this': 1, 'feeling': 1, 'are': 1, 'is': 1, 'guys': 2, 'produced': 1, 'real': 1, 'so': 1, 'blow': 1, 'a': 2, 'year': 1, 'coverage': 1, 'tremendous': 1, 'theyve': 1, 'at': 1, 'sport': 1, 'cancellations': 1, 'over': 1, 'thehighbutton': 1, 'scene': 1, 'love': 1, 'their': 1, 'give': 1, 'secondtonone': 1, 'time': 1, 'hbsports': 1, 'halifax': 1, 'some': 1, 'of': 2, 'busiest': 1, 'bellyhighbutton': 1, 'product': 1, 'the': 5}"
5216,"@mini_bubbly @AndrewScheer Imagine what shape Canada would be in, if every province solely focused on 'one' industry only. And made no provisions for the future. But to blame everyone else, for the global price of the product. One industry, one education, &amp; one religion for all. Pretty short sighted.","{'for': 3, 'in': 1, 'everyone': 1, 'but': 1, 'future': 1, 'what': 1, 'would': 1, 'provisions': 1, 'if': 1, 'andrewscheer': 1, 'short': 1, 'all': 1, 'pretty': 1, 'price': 1, 'every': 1, 'else': 1, 'industry': 2, 'focused': 1, 'amp': 1, 'canada': 1, 'to': 1, 'minibubbly': 1, 'global': 1, 'on': 1, 'education': 1, 'solely': 1, 'imagine': 1, 'sighted': 1, 'province': 1, 'be': 1, 'shape': 1, 'religion': 1, 'blame': 1, 'made': 1, 'no': 1, 'of': 1, 'and': 1, 'one': 4, 'product': 1, 'the': 3, 'only': 1}"
5463,"Is #CPC realizing @CPC_HQ is a throng of incompetent and ignorant career politicians grifting Canada for golden pensions?

#Science #SciComm #Climate #COVID19 #Pollution #Gender #SeaLevelRise #Education #HealthCare #CdnPoli #Elxn44 #CPCldr #PostTruth #CPCFail https://t.co/sIQV18qqMk","{'elxn44': 1, 'incompetent': 1, 'for': 1, 'pollution': 1, 'politicians': 1, 'is': 2, 'posttruth': 1, 'covid19': 1, 'career': 1, 'cdnpoli': 1, 'a': 1, 'canada': 1, 'science': 1, 'cpc': 1, 'grifting': 1, 'httpstcosiqv18qqmk': 1, 'pensions': 1, 'climate': 1, 'education': 1, 'scicomm': 1, 'throng': 1, 'ignorant': 1, 'realizing': 1, 'sealevelrise': 1, 'cpcfail': 1, 'cpchq': 1, 'cpcldr': 1, 'healthcare': 1, 'of': 1, 'golden': 1, 'and': 1, 'gender': 1}"
5582,"$50 million to support the Public Health Agency of Canadas public education efforts
$50 million to the Public Health Agency to ensure adequate supplies of personal protective equipment like surgical masks, face shields, &amp; isolation gowns","{'health': 2, 'support': 1, 'adequate': 1, 'agency': 2, '50': 2, 'efforts': 1, 'isolation': 1, 'gowns': 1, 'public': 3, 'shields': 1, 'amp': 1, 'protective': 1, 'to': 3, 'ensure': 1, 'face': 1, 'personal': 1, 'surgical': 1, 'education': 1, 'masks': 1, 'equipment': 1, 'supplies': 1, 'million': 2, 'like': 1, 'of': 2, 'canadas': 1, 'the': 2}"
686,RT @TundeTASH: RT if you are still planning to be in Canada this year or in the nearest future.,"{'this': 1, 'in': 2, 'are': 1, 'nearest': 1, 'future': 1, 'if': 1, 'year': 1, 'rt': 2, 'or': 1, 'canada': 1, 'to': 1, 'you': 1, 'planning': 1, 'tundetash': 1, 'still': 1, 'be': 1, 'the': 1}"
852,RT @kaylaeferguson: am i the only one that doesn't want my university to go to online courses??? i didn't sign up to take online courses fo,"{'am': 1, 'want': 1, 'online': 2, 'up': 1, 'rt': 1, 'i': 2, 'that': 1, 'to': 3, 'courses': 2, 'sign': 1, 'go': 1, 'kaylaeferguson': 1, 'doesnt': 1, 'my': 1, 'take': 1, 'university': 1, 'fo': 1, 'didnt': 1, 'one': 1, 'the': 1, 'only': 1}"
